total_number_of_words,total_number_of_stop_words,total_number_of_syllables,total_number_of_words_more_than_two_syllables,total_number_of_words_more_than_three_syllables,total_number_of_unique_words,total_number_of_sentences,total_number_of_characters,average_number_of_words_per_sentence,average_number_of_characters_per_sentence,average_number_of_characters_per_word,average_number_of_syllables_per_sentence,average_number_of_syllables_per_word,average_number_of_stop_words_per_sentence,average_number_of_stop_words_per_word,total_kuperman_age_of_acquistion_of_words,total_brysbaert_age_of_acquistion_of_words,total_subtlex_us_zipf_of_words,average_kuperman_age_of_acquistion_of_words_per_word,average_brysbaert_age_of_acquistion_of_words_per_word,average_kuperman_age_of_acquistion_of_words_per_sentence,average_brysbaert_age_of_acquistion_of_words_per_sentence,average_subtlex_us_zipf_of_words_per_word,average_subtlex_us_zipf_of_words_per_sentence,simple_adjectives_variation,simple_adpositions_variation,simple_adverbs_variation,simple_auxiliaries_variation,simple_coordinating_conjunctions_variation,simple_determiners_variation,simple_interjections_variation,simple_nouns_variation,simple_numerals_variation,simple_particles_variation,simple_pronouns_variation,simple_proper_nouns_variation,simple_punctuations_variation,simple_subordinating_conjunctions_variation,simple_symbols_variation,simple_verbs_variation,simple_spaces_variation,root_adjectives_variation,root_adpositions_variation,root_adverbs_variation,root_auxiliaries_variation,root_coordinating_conjunctions_variation,root_determiners_variation,root_interjections_variation,root_nouns_variation,root_numerals_variation,root_particles_variation,root_pronouns_variation,root_proper_nouns_variation,root_punctuations_variation,root_subordinating_conjunctions_variation,root_symbols_variation,root_verbs_variation,root_spaces_variation,corrected_adjectives_variation,corrected_adpositions_variation,corrected_adverbs_variation,corrected_auxiliaries_variation,corrected_coordinating_conjunctions_variation,corrected_determiners_variation,corrected_interjections_variation,corrected_nouns_variation,corrected_numerals_variation,corrected_particles_variation,corrected_pronouns_variation,corrected_proper_nouns_variation,corrected_punctuations_variation,corrected_subordinating_conjunctions_variation,corrected_symbols_variation,corrected_verbs_variation,corrected_spaces_variation,simple_type_token_ratio,root_type_token_ratio,corrected_type_token_ratio,bilogarithmic_type_token_ratio,uber_type_token_ratio,simple_type_token_ratio_no_lemma,root_type_token_ratio_no_lemma,corrected_type_token_ratio_no_lemma,bilogarithmic_type_token_ratio_no_lemma,uber_type_token_ratio_no_lemma,average_number_of_adjectives_per_word,average_number_of_adpositions_per_word,average_number_of_adverbs_per_word,average_number_of_auxiliaries_per_word,average_number_of_coordinating_conjunctions_per_word,average_number_of_determiners_per_word,average_number_of_interjections_per_word,average_number_of_nouns_per_word,average_number_of_numerals_per_word,average_number_of_particles_per_word,average_number_of_pronouns_per_word,average_number_of_proper_nouns_per_word,average_number_of_punctuations_per_word,average_number_of_subordinating_conjunctions_per_word,average_number_of_symbols_per_word,average_number_of_verbs_per_word,average_number_of_spaces_per_word,average_number_of_adjectives_per_sentence,average_number_of_adpositions_per_sentence,average_number_of_adverbs_per_sentence,average_number_of_auxiliaries_per_sentence,average_number_of_coordinating_conjunctions_per_sentence,average_number_of_determiners_per_sentence,average_number_of_interjections_per_sentence,average_number_of_nouns_per_sentence,average_number_of_numerals_per_sentence,average_number_of_particles_per_sentence,average_number_of_pronouns_per_sentence,average_number_of_proper_nouns_per_sentence,average_number_of_punctuations_per_sentence,average_number_of_subordinating_conjunctions_per_sentence,average_number_of_symbols_per_sentence,average_number_of_verbs_per_sentence,average_number_of_spaces_per_sentence,flesch_kincaid_reading_ease,flesch_kincaid_grade_level,gunning_fog_index,smog_index,coleman_liau_index,automated_readability_index,reading_time_for_fast_readers,reading_time_for_average_readers,reading_time_for_slow_readers
22,9,25,1,1,22,2,92,11.0,46.0,4.18,12.5,1.14,4.5,0.41,81.29,66.74,72.66,3.7,3.03,40.65,33.37,3.3,36.33,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.41,0.0,1.41,0.0,1.0,0.0,2.45,1.0,1.0,1.0,1.73,1.73,0.0,0.0,1.0,0.0,0.71,1.0,0.0,1.0,0.0,0.71,0.0,1.73,0.71,0.71,0.71,1.22,1.22,0.0,0.0,0.71,0.0,1.0,4.69,3.32,1.0,0.0,1.0,4.69,3.32,1.0,0.0,0.05,0.09,0.0,0.09,0.0,0.05,0.0,0.27,0.05,0.05,0.05,0.14,0.14,0.0,0.0,0.05,0.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,3.0,0.5,0.5,0.5,1.5,1.5,0.0,0.0,0.5,0.0,99.53,2.11,6.22,4.04,6.1,3.77,0.07,0.09,0.13
331,119,476,49,19,172,13,1589,25.46,122.23,4.8,36.62,1.44,9.15,0.36,1280.34,1025.46,1481.51,3.87,3.1,98.49,78.88,4.48,113.96,0.93,0.48,1.0,0.15,0.14,0.17,0.0,0.63,0.67,0.18,0.67,0.54,0.16,1.0,0.0,0.76,0.12,3.61,2.79,1.73,0.55,0.38,0.93,0.0,4.63,2.0,0.6,2.58,4.86,1.19,1.73,0.0,4.84,0.49,2.56,1.97,1.22,0.39,0.27,0.66,0.0,3.27,1.41,0.43,1.83,3.44,0.84,1.22,0.0,3.42,0.34,0.52,9.45,6.68,0.89,40.48,0.52,9.45,6.68,0.89,40.48,0.05,0.1,0.01,0.04,0.02,0.09,0.0,0.16,0.03,0.03,0.05,0.25,0.17,0.01,0.0,0.12,0.05,1.15,2.54,0.23,1.0,0.54,2.23,0.0,4.15,0.69,0.85,1.15,6.31,4.38,0.23,0.0,3.15,1.31,59.33,11.31,16.11,6.91,11.27,13.91,1.1,1.38,1.89
401,193,612,65,27,193,20,2012,20.05,100.6,5.02,30.6,1.53,9.65,0.48,1934.97,1710.59,1926.19,4.83,4.27,96.75,85.53,4.8,96.31,0.77,0.3,0.52,0.22,0.5,0.22,0.0,0.57,1.0,0.27,0.44,0.46,0.08,0.62,0.5,0.65,0.12,4.31,1.96,2.87,1.04,1.0,1.32,0.0,5.06,4.0,0.9,1.75,2.97,0.57,1.77,1.0,4.71,0.35,3.05,1.39,2.03,0.74,0.71,0.93,0.0,3.58,2.83,0.64,1.24,2.1,0.4,1.25,0.71,3.33,0.25,0.48,9.64,6.82,0.88,37.87,0.48,9.64,6.82,0.88,37.87,0.08,0.11,0.08,0.06,0.01,0.09,0.0,0.2,0.04,0.03,0.04,0.1,0.12,0.02,0.01,0.13,0.02,1.55,2.2,1.55,1.15,0.2,1.85,0.0,3.95,0.8,0.55,0.8,2.05,2.45,0.4,0.2,2.6,0.4,57.37,10.24,14.5,6.64,12.23,12.23,1.34,1.67,2.29
769,336,1169,133,52,392,35,3683,21.97,105.23,4.79,33.4,1.52,9.6,0.44,3824.73,3183.03,3645.82,4.97,4.14,109.28,90.94,4.74,104.17,0.78,0.29,0.86,0.21,0.14,0.1,0.0,0.72,0.83,0.1,0.44,0.65,0.08,0.62,0.0,0.79,0.12,6.91,2.51,4.54,1.2,0.64,0.89,0.0,9.55,2.04,0.54,2.72,5.54,0.83,2.5,0.0,7.33,0.59,4.88,1.77,3.21,0.85,0.45,0.63,0.0,6.75,1.44,0.38,1.92,3.92,0.58,1.77,0.0,5.18,0.42,0.51,14.14,10.0,0.9,52.92,0.51,14.14,10.0,0.9,52.92,0.1,0.1,0.04,0.04,0.03,0.11,0.0,0.23,0.01,0.04,0.05,0.09,0.15,0.02,0.0,0.11,0.03,2.23,2.2,0.8,0.97,0.63,2.31,0.0,4.97,0.17,0.89,1.11,2.06,3.4,0.46,0.0,2.46,0.74,55.93,10.92,15.71,6.96,11.01,12.11,2.56,3.2,4.39
1898,950,2650,263,88,654,83,8672,22.87,104.48,4.57,31.93,1.4,11.45,0.5,8555.62,7319.27,9686.39,4.51,3.86,103.08,88.18,5.1,116.7,0.77,0.12,0.68,0.17,0.07,0.05,0.0,0.58,0.73,0.04,0.17,0.46,0.04,0.25,0.0,0.58,0.03,7.7,1.82,5.7,1.68,0.54,0.67,0.0,10.29,2.84,0.34,2.19,6.8,0.69,1.82,0.0,9.73,0.16,5.44,1.29,4.03,1.19,0.38,0.47,0.0,7.28,2.01,0.24,1.55,4.81,0.49,1.29,0.0,6.88,0.11,0.34,15.01,10.61,0.86,39.45,0.34,15.01,10.61,0.86,39.45,0.05,0.12,0.04,0.05,0.03,0.09,0.0,0.17,0.01,0.04,0.09,0.11,0.16,0.03,0.0,0.15,0.02,1.2,2.64,0.86,1.23,0.66,2.17,0.0,3.81,0.18,0.95,2.11,2.6,3.67,0.61,0.0,3.42,0.48,65.51,9.8,14.69,5.88,9.77,11.52,6.33,7.91,10.85
1299,688,1723,148,40,506,59,5666,22.02,96.03,4.36,29.2,1.33,11.66,0.53,6202.43,5276.29,6820.45,4.77,4.06,105.13,89.43,5.25,115.6,0.72,0.16,0.65,0.14,0.14,0.09,0.67,0.71,0.8,0.08,0.22,0.45,0.05,0.35,0.0,0.57,0.06,7.11,1.89,5.66,1.23,0.85,1.0,1.15,10.89,1.79,0.57,2.38,4.06,0.64,2.14,0.0,7.76,0.36,5.03,1.34,4.0,0.87,0.6,0.7,0.82,7.7,1.26,0.4,1.69,2.87,0.46,1.51,0.0,5.49,0.25,0.39,14.04,9.93,0.87,41.12,0.39,14.04,9.93,0.87,41.12,0.07,0.11,0.06,0.06,0.03,0.09,0.0,0.18,0.0,0.04,0.09,0.06,0.12,0.03,0.0,0.14,0.02,1.64,2.51,1.27,1.36,0.59,2.07,0.05,3.98,0.08,0.83,2.02,1.41,2.61,0.63,0.0,3.1,0.53,72.27,8.65,13.36,4.7,8.5,10.12,4.33,5.41,7.42
238,122,334,44,11,127,11,1110,21.64,100.91,4.66,30.36,1.4,11.09,0.51,1047.63,927.34,1140.96,4.4,3.9,95.24,84.3,4.79,103.72,0.88,0.47,0.88,0.26,0.25,0.26,0.0,0.83,1.0,0.2,0.43,0.53,0.18,0.56,0.0,0.76,0.33,2.47,2.06,2.47,1.15,0.71,1.25,0.0,4.56,1.0,0.77,1.96,3.17,0.94,1.67,0.0,4.7,0.58,1.75,1.46,1.75,0.81,0.5,0.88,0.0,3.23,0.71,0.55,1.39,2.24,0.67,1.18,0.0,3.33,0.41,0.53,8.23,5.82,0.89,37.36,0.53,8.23,5.82,0.89,37.36,0.03,0.08,0.03,0.08,0.03,0.1,0.0,0.13,0.0,0.06,0.09,0.15,0.12,0.04,0.0,0.16,0.01,0.73,1.73,0.73,1.73,0.73,2.09,0.0,2.73,0.09,1.36,1.91,3.27,2.55,0.82,0.0,3.45,0.27,66.15,9.41,16.05,5.71,10.26,11.35,0.79,0.99,1.36
1031,491,1505,151,67,442,39,4858,26.44,124.56,4.71,38.59,1.46,12.59,0.48,4797.03,4013.24,5173.81,4.65,3.89,123.0,102.9,5.02,132.66,0.78,0.19,0.84,0.21,0.13,0.11,1.0,0.65,0.88,0.07,0.25,0.55,0.07,0.36,1.0,0.67,0.05,5.99,2.11,4.77,1.37,0.73,1.1,1.0,9.34,2.47,0.47,2.11,6.23,0.82,1.71,1.0,7.72,0.22,4.23,1.49,3.38,0.97,0.52,0.78,0.71,6.6,1.75,0.33,1.49,4.4,0.58,1.21,0.71,5.46,0.16,0.43,13.77,9.73,0.88,43.81,0.43,13.77,9.73,0.88,43.81,0.06,0.13,0.03,0.04,0.03,0.1,0.0,0.2,0.01,0.04,0.07,0.13,0.14,0.02,0.0,0.13,0.02,1.51,3.31,0.82,1.1,0.77,2.56,0.03,5.36,0.21,1.05,1.87,3.33,3.82,0.56,0.03,3.41,0.51,56.51,11.95,16.43,7.49,10.79,13.98,3.44,4.3,5.89
457,198,694,81,26,228,21,2235,21.76,106.43,4.89,33.05,1.52,9.43,0.43,2006.65,1717.58,2193.83,4.39,3.76,95.55,81.79,4.8,104.47,0.61,0.3,0.62,0.3,0.38,0.16,0.0,0.65,0.62,0.3,0.64,0.64,0.09,0.75,0.0,0.67,0.08,3.21,2.32,3.06,1.34,1.06,1.04,0.0,6.0,1.77,0.95,2.41,5.7,0.68,2.12,0.0,5.03,0.29,2.27,1.64,2.17,0.95,0.75,0.74,0.0,4.24,1.25,0.67,1.7,4.03,0.48,1.5,0.0,3.56,0.2,0.5,10.67,7.54,0.89,42.39,0.5,10.67,7.54,0.89,42.39,0.06,0.13,0.05,0.04,0.02,0.1,0.0,0.18,0.02,0.02,0.03,0.18,0.12,0.02,0.0,0.12,0.03,1.33,2.86,1.14,0.95,0.38,2.14,0.0,4.0,0.38,0.48,0.67,3.81,2.57,0.38,0.0,2.71,0.57,56.27,10.82,15.79,6.36,11.6,12.49,1.52,1.9,2.61
390,176,540,55,7,202,12,1792,32.5,149.33,4.59,45.0,1.38,14.67,0.45,1806.72,1493.49,1902.4,4.63,3.83,150.56,124.46,4.88,158.53,0.84,0.31,0.92,0.23,0.17,0.12,0.0,0.69,0.86,0.27,0.43,0.59,0.07,0.45,0.0,0.86,0.09,3.67,2.24,3.18,0.83,0.58,0.7,0.0,6.36,2.27,1.03,2.37,3.92,0.51,1.51,0.0,6.0,0.3,2.6,1.58,2.25,0.59,0.41,0.49,0.0,4.5,1.6,0.73,1.68,2.77,0.36,1.07,0.0,4.24,0.21,0.52,10.23,7.23,0.89,42.83,0.52,10.23,7.23,0.89,42.83,0.05,0.13,0.03,0.03,0.03,0.08,0.0,0.22,0.02,0.04,0.08,0.11,0.16,0.03,0.0,0.13,0.03,1.58,4.25,1.0,1.08,1.0,2.75,0.0,7.17,0.58,1.25,2.5,3.67,5.08,0.92,0.0,4.08,0.92,56.71,13.42,18.64,4.36,10.31,16.46,1.3,1.62,2.23
